wd_event_date,new_agency_types_submissions,new_agency_types_tenants,agency_by_type_opens,agency_by_type_tenants,agency_types_opens,agency_types_tenants,cumulative_tenants,total_post_job_submissions,total_post_job_tenants
2025-09-20,18,9,19,6,9,6,9,8866,533
2025-09-27,64,21,7,3,3,2,27,7805,555
2025-10-04,49,18,12,4,8,3,39,8331,545
2025-10-11,81,27,5,2,8,5,56,7890,579
2025-10-18,42,12,14,8,12,6,61,7580,521
2025-10-25,100,19,11,3,7,5,68,7723,539
2025-11-01,29,16,2,2,2,2,74,6494,498
2025-11-08,78,30,8,3,2,2,89,8705,624
2025-11-15,45,18,4,2,8,7,100,7605,610
2025-11-22,69,23,3,2,2,2,108,7253,629
2025-11-29,42,15,7,4,5,4,112,4431,362
2025-12-06,64,19,15,5,4,4,117,6433,599
2025-12-13,52,15,3,3,2,2,123,6252,569
2025-12-20,68,22,2,2,5,4,134,6796,607
2025-12-27,17,10,5,4,6,4,137,4255,321
2026-01-03,10,9,6,4,4,3,138,5323,445
2026-01-10,43,22,7,5,4,3,148,7970,661
2026-01-17,40,20,3,3,0,0,153,7887,704
2026-01-24,69,23,5,4,4,4,161,8275,755
2026-01-31,54,26,8,4,6,4,170,8620,776
2026-02-07,53,32,6,4,4,2,182,8918,718
2026-02-14,28,16,4,3,1,1,186,7907,727
2026-02-21,65,21,9,3,5,4,193,8575,698
2026-02-28,44,26,7,4,4,3,201,9214,762
2026-03-07,33,17,6,3,3,2,205,8862,728
2026-03-14,23,16,12,5,1,1,213,6939,603
2026-03-21,53,19,4,3,6,5,215,6826,566
2026-03-28,56,22,7,2,7,5,222,7746,634
2026-04-04,101,16,6,1,3,2,226,6574,514
2026-04-11,43,21,7,3,5,3,233,6856,628
